0,1,2,3,4,5,6,7,8
市,区/县,周五(11月10日)白天,周五(11月10日)白天,周五(11月10日)白天,周五(11月10日)夜间,周五(11月10日)夜间,周五(11月10日)夜间,
市,区/县,天气现象,风向风力,最高气温,天气现象,风向风力,最低气温,
重庆,重庆,-,- -,-,阴,东风 <3级,17,详情
重庆,永川,-,- -,-,阴,东风 <3级,16,详情
重庆,合川,-,- -,-,阴,东风 <3级,15,详情
重庆,南川,-,- -,-,阴,东南风 <3级,13,详情
重庆,江津,-,- -,-,阴,东南风 <3级,17,详情
重庆,渝北,-,- -,-,阴,东风 <3级,15,详情
重庆,北碚,-,- -,-,阴,东风 <3级,16,详情
重庆,巴南,-,- -,-,阴,东风 <3级,15,详情
重庆,长寿,-,- -,-,阴,东风 <3级,15,详情
重庆,黔江,-,- -,-,小雨,东南风 <3级,10,详情
重庆,渝中,-,- -,-,阴,东风 <3级,17,详情
重庆,万州,-,- -,-,阴,东北风 <3级,13,详情
重庆,涪陵,-,- -,-,阴,东风 <3级,15,详情
重庆,城口,-,- -,-,小雨,西北风 <3级,6,详情
重庆,云阳,-,- -,-,阴,东风 <3级,15,详情
重庆,巫溪,-,- -,-,阴,北风 <3级,9,详情
重庆,奉节,-,- -,-,阴,东北风 <3级,14,详情
重庆,巫山,-,- -,-,阴,东风 <3级,10,详情
重庆,潼南,-,- -,-,阴,东北风 <3级,14,详情
重庆,垫江,-,- -,-,阴,东风 <3级,13,详情
重庆,梁平,-,- -,-,阴,东风 <3级,13,详情
重庆,忠县,-,- -,-,阴,东北风 <3级,15,详情
重庆,石柱,-,- -,-,阴,东南风 <3级,12,详情
重庆,大足,-,- -,-,阴,东风 <3级,15,详情
重庆,荣昌,-,- -,-,阴,东风 <3级,16,详情
重庆,铜梁,-,- -,-,阴,东风 <3级,16,详情
重庆,璧山,-,- -,-,阴,东风 <3级,16,详情
重庆,丰都,-,- -,-,阴,东南风 <3级,15,详情
重庆,武隆,-,- -,-,小雨,东风 <3级,14,详情
重庆,彭水,-,- -,-,小雨,东南风 <3级,13,详情
重庆,綦江,-,- -,-,阴,东南风 <3级,15,详情
重庆,酉阳,-,- -,-,小雨,东风 <3级,7,详情
重庆,大渡口,-,- -,-,阴,东风 <3级,17,详情
重庆,秀山,-,- -,-,中雨,东北风 <3级,8,详情
