0,1,2,3,4,5,6,7,8
市,区/县,周五(11月10日)白天,周五(11月10日)白天,周五(11月10日)白天,周五(11月10日)夜间,周五(11月10日)夜间,周五(11月10日)夜间,
市,区/县,天气现象,风向风力,最高气温,天气现象,风向风力,最低气温,
济南,济南,-,- -,-,雨夹雪,北风 <3级,1,详情
济南,长清,-,- -,-,雨夹雪,东北风 <3级,1,详情
济南,商河,-,- -,-,小雪,北风 <3级,-1,详情
济南,章丘,-,- -,-,雨夹雪,北风 <3级,0,详情
济南,平阴,-,- -,-,雨夹雪,北风 <3级,1,详情
济南,济阳,-,- -,-,小雪,北风 <3级,-1,详情
济南,历下,-,- -,-,雨夹雪,北风 <3级,1,详情
济南,市中,-,- -,-,雨夹雪,北风 <3级,1,详情
济南,槐荫,-,- -,-,雨夹雪,北风 <3级,1,详情
济南,天桥,-,- -,-,雨夹雪,北风 <3级,1,详情
济南,历城,-,- -,-,雨夹雪,北风 <3级,1,详情
青岛,青岛,-,- -,-,阴,北风 3-4级,4,详情
青岛,崂山,-,- -,-,阴,北风 3-4级,2,详情
青岛,市南,-,- -,-,阴,北风 3-4级,4,详情
青岛,即墨,-,- -,-,阴,北风 3-4级,2,详情
青岛,胶州,-,- -,-,阴,北风 3-4级,3,详情
青岛,黄岛,-,- -,-,阴,北风 3-4级,4,详情
青岛,莱西,-,- -,-,雨夹雪,北风 3-4级,2,详情
青岛,平度,-,- -,-,雨夹雪,北风 3-4级,2,详情
青岛,市北,-,- -,-,阴,北风 3-4级,4,详情
青岛,李沧,-,- -,-,阴,北风 3-4级,2,详情
青岛,城阳,-,- -,-,阴,北风 3-4级,2,详情
淄博,淄博,-,- -,-,雨夹雪,北风 <3级,1,详情
淄博,淄川,-,- -,-,雨夹雪,北风 <3级,1,详情
淄博,博山,-,- -,-,雨夹雪,北风 <3级,0,详情
淄博,高青,-,- -,-,雨夹雪,北风 <3级,1,详情
淄博,周村,-,- -,-,雨夹雪,北风 <3级,1,详情
淄博,沂源,-,- -,-,雨夹雪,北风 <3级,0,详情
淄博,桓台,-,- -,-,雨夹雪,北风 <3级,1,详情
淄博,临淄,-,- -,-,雨夹雪,北风 <3级,1,详情
淄博,张店,-,- -,-,雨夹雪,北风 <3级,1,详情
德州,德州,-,- -,-,雨夹雪,北风 <3级,1,详情
